"Saison";"Sptag";"Heim";"Auswaerts";"ToreH";"ToreA";"TorminH";"TorminA";"GelbH";"GelbRotH";"RotH";"MinH";"GelbA";"GelbRotA";"RotA";"MinA"
1996;11;"duesseldorf";"leverkusen";1;1;"52";"37";1;0;0;"";3;0;0;""
1996;11;"hamburg";"klautern";1;0;"7";"";0;0;0;"";1;0;0;""
1996;11;"bmuenchen";"vfbstuttgart";5;3;"45/49/63/85/90";"76/79/84";1;0;0;"";5;0;0;""
1996;11;"rostock";"frankfurt";1;1;"75";"43";0;0;0;"";3;0;0;""
1996;11;"schalke";"dortmund";1;2;"10";"42/90";2;0;0;"";4;0;0;""
1996;11;"uerdingen";"1860muenchen";2;0;"11/25";"";1;0;0;"";2;0;0;""
1996;12;"leverkusen";"hamburg";0;1;"";"5";1;0;0;"";3;0;0;""
1996;12;"stpauli";"fckoeln";3;3;"57/71/81";"9/54/75";1;0;0;"";1;0;0;""
1996;12;"dortmund";"duesseldorf";3;0;"26/27/84";"";1;0;0;"";1;0;0;""
1996;12;"frankfurt";"bmuenchen";4;1;"6/28/74/87";"51";1;0;1;"65";4;0;0;""
1996;12;"freiburg";"uerdingen";1;1;"75";"14";1;0;0;"";4;0;0;""
1996;12;"klautern";"karlsruhe";2;2;"6/85";"28/86";3;0;0;"";4;1;0;"85"
1996;12;"1860muenchen";"rostock";1;1;"37";"89";3;0;0;"";0;0;0;""
1996;12;"vfbstuttgart";"bremen";1;1;"78";"69";0;0;0;"";1;0;0;""
1996;12;"mgladbach";"schalke";4;1;"20/72/75/78";"33";0;0;0;"";2;0;0;""
1996;13;"rostock";"bmuenchen";0;0;"";"";1;0;0;"";2;0;0;""
1996;13;"hamburg";"dortmund";2;2;"63/71";"17/24";3;0;0;"";3;0;0;""
1996;13;"uerdingen";"klautern";1;1;"76";"86";0;0;0;"";2;0;0;""
1996;13;"bremen";"frankfurt";1;1;"45";"56";1;0;0;"";2;0;0;""
1996;13;"duesseldorf";"mgladbach";3;2;"23/50/75";"17/79";2;0;0;"";3;0;0;""
1996;13;"karlsruhe";"leverkusen";1;4;"76";"35/38/63/70";1;0;0;"";1;0;0;""
1996;13;"fckoeln";"vfbstuttgart";2;2;"57/72";"62/78";2;0;0;"";5;0;0;""
