Titel;Ort;Erscheinungsweise;Quartal;Verbreitung;Verkauf;DAGesamt
Bunte;München;woe;20052;784580;776802;996195
Bunte;München;woe;20053;792883;784915;1000660
Bunte;München;woe;20054;728829;721300;958643
Bunte;München;woe;20061;732412;725036;941507
Bunte;München;woe;20062;742592;736039;938959
Bunte;München;woe;20063;780101;772679;964423
Bunte;München;woe;20064;714736;708410;924695
Bunte;München;woe;20071;725384;718716;928121
Bunte;München;woe;20072;738073;732317;946181
Bunte;München;woe;20073;763085;756472;968871
Bunte;München;woe;20074;712161;706346;940554
Bunte;München;woe;20081;724702;718575;938744
Bunte;München;woe;20082;715657;709599;928154
Bunte;München;woe;20083;743970;737346;944598
Bunte;München;woe;20084;717115;710466;928968
Bunte;München;woe;20091;667223;660482;879665
Bunte;München;woe;20092;665989;659299;856026
Bunte;München;woe;20093;691877;684496;877900
Bunte;München;woe;20094;656740;648923;870220
CHANCE (Russisch);Köln;mtl;20021;101357;1520;105667
CHANCE (Russisch);Köln;mtl;20033;74991;12233;76666
CHANCE (Russisch);Köln;mtl;20033;75058;32062;76667
CHANCE (Russisch);Köln;mtl;20034;78798;12525;79973
CHANCE (Russisch);Köln;mtl;20041;78721;12121;79990
CHANCE (Russisch);Köln;mtl;20042;79088;12194;80192
CHANCE (Russisch);Köln;mtl;20043;98796;11498;99995
CHANCE (Russisch);Köln;mtl;20043;93796;36086;99995
CHANCE (Russisch);Köln;mtl;20044;83509;20412;86665
CHANCE (Russisch);Köln;mtl;20044;83509;41679;86665
CHANCE (Russisch);Köln;mtl;20051;115355;20272;120500
CHANCE (Russisch);Köln;mtl;20051;115355;112754;120500
CHANCE (Russisch);Köln;mtl;20052;113706;19284;118728
Christ in der Gegenwart;Freiburg;woe;19981;33589;30964;38187
Christ in der Gegenwart;Freiburg;woe;19982;34320;31663;37897
Christ in der Gegenwart;Freiburg;woe;19983;32962;30562;37547
Christ in der Gegenwart;Freiburg;woe;19984;35433;30888;38131
Christ in der Gegenwart;Freiburg;woe;19991;32551;30710;36800
Christ in der Gegenwart;Freiburg;woe;19992;32852;31087;36533
Christ in der Gegenwart;Freiburg;woe;19993;32079;30352;34800
Christ in der Gegenwart;Freiburg;woe;19994;32168;30696;35550
Christ in der Gegenwart;Freiburg;woe;20001;33778;31779;35500
Christ in der Gegenwart;Freiburg;woe;20002;34240;32068;36233
Christ in der Gegenwart;Freiburg;woe;20003;34254;31661;37975
Christ in der Gegenwart;Freiburg;woe;20004;36140;32089;39821
Christ in der Gegenwart;Freiburg;woe;20011;33425;32041;37208
Christ in der Gegenwart;Freiburg;woe;20012;34836;31948;38125
Christ in der Gegenwart;Freiburg;woe;20013;39316;32056;41800
Christ in der Gegenwart;Freiburg;woe;20014;35638;33289;36767
Christ in der Gegenwart;Freiburg;woe;20014;44680;35995;45958
Christ in der Gegenwart;Freiburg;woe;20021;35955;32049;38725
Christ in der Gegenwart;Freiburg;woe;20022;34965;32016;36587
Christ in der Gegenwart;Freiburg;woe;20023;39526;31711;42842
Christ in der Gegenwart;Freiburg;woe;20024;33901;32656;36341
Christ in der Gegenwart;Freiburg;woe;20031;33785;31577;36383
Christ in der Gegenwart;Freiburg;woe;20032;34933;31697;38282
Christ in der Gegenwart;Freiburg;woe;20033;37927;31536;41421
Christ in der Gegenwart;Freiburg;woe;20034;33558;32302;36300
Christ in der Gegenwart;Freiburg;woe;20041;33290;31365;35602
Christ in der Gegenwart;Freiburg;woe;20042;38569;31316;40922
Christ in der Gegenwart;Freiburg;woe;20042;39064;31319;41390
Christ in der Gegenwart;Freiburg;woe;20043;37815;32140;39843
Christ in der Gegenwart;Freiburg;woe;20044;34392;32706;36333
Christ in der Gegenwart;Freiburg;woe;20051;37872;31337;41117
Christ in der Gegenwart;Freiburg;woe;20052;32883;31119;36152
Christ in der Gegenwart;Freiburg;woe;20053;31913;31055;35371
Christ in der Gegenwart;Freiburg;woe;20054;37453;31176;40504
Christ in der Gegenwart;Freiburg;woe;20061;36476;30732;39746
Christ in der Gegenwart;Freiburg;woe;20062;32940;30623;36133
Christ in der Gegenwart;Freiburg;woe;20063;34877;30320;38864
Christ in der Gegenwart;Freiburg;woe;20064;36720;28126;38878
Christ in der Gegenwart;Freiburg;woe;20064;39784;30470;42117
Christ in der Gegenwart;Freiburg;woe;20071;35691;30662;38127
Christ in der Gegenwart;Freiburg;woe;20072;35788;30806;38727
Christ in der Gegenwart;Freiburg;woe;20073;34854;29503;38593
Christ in der Gegenwart;Freiburg;woe;20074;36703;29523;40079
Christ in der Gegenwart;Freiburg;woe;20081;42863;30662;46908
Christ in der Gegenwart;Freiburg;woe;20082;35131;30863;39361
Christ in der Gegenwart;Freiburg;woe;20083;32744;29709;37557
Christ in der Gegenwart;Freiburg;woe;20084;39041;29491;43613
Christ in der Gegenwart;Freiburg;woe;20091;33823;29781;38251
Christ in der Gegenwart;Freiburg;woe;20092;32394;29866;35525
Christ in der Gegenwart;Freiburg;woe;20093;31260;29898;35336
Christ in der Gegenwart;Freiburg;woe;20094;32346;30756;35215
Cicero;Berlin;mtl;20051;84217;54966;116533
Cicero;Berlin;mtl;20052;78172;56865;106853
Cicero;Berlin;mtl;20053;77275;62746;106556
Cicero;Berlin;mtl;20054;85830;66189;118150
Cicero;Berlin;mtl;20061;90052;68394;116833
Cicero;Berlin;mtl;20062;84053;66474;112785
Cicero;Berlin;mtl;20063;86818;70014;115000
Cicero;Berlin;mtl;20064;83498;70252;115787
Cicero;Berlin;mtl;20071;79042;70324;111556
Cicero;Berlin;mtl;20072;80500;72899;109837
Cicero;Berlin;mtl;20073;81128;73172;109982
Cicero;Berlin;mtl;20074;97268;75193;131503
Cicero;Berlin;mtl;20081;87620;76614;120690
Cicero;Berlin;mtl;20082;85976;77077;118333
Cicero;Berlin;mtl;20083;91090;77567;122667
Cicero;Berlin;mtl;20084;85609;78112;120667
Cicero;Berlin;mtl;20091;89537;80588;122267
Cicero;Berlin;mtl;20092;86683;80628;121017
