Titel;Ort;Erscheinungsweise;Quartal;Verbreitung;Verkauf;DAGesamt
metallzeitung;Frankfurt;12 x jähr;20011;2092947;2092422;2093002
metallzeitung;Frankfurt;12 x jähr;20011;2092947;2092422;2093002
metallzeitung;Frankfurt;12 x jähr;20012;2090278;2089753;2090333
metallzeitung;Frankfurt;12 x jähr;20013;2084926;2084401;2084981
metallzeitung;Frankfurt;12 x jähr;20014;2073787;2073262;2073842
metallzeitung;Frankfurt;12 x jähr;20021;2066007;2065457;2066201
metallzeitung;Frankfurt;12 x jähr;20022;2058398;2057848;2058592
metallzeitung;Frankfurt;12 x jähr;20023;2064235;2063685;2064429
metallzeitung;Frankfurt;12 x jähr;20024;2063916;2063366;2064110
metallzeitung;Frankfurt;12 x jähr;20031;2066757;2062874;2066951
metallzeitung;Frankfurt;12 x jähr;20032;2060352;2059802;2060546
metallzeitung;Frankfurt;12 x jähr;20033;2055775;2055225;2055969
metallzeitung;Frankfurt;12 x jähr;20034;2045094;2044544;2045288
metallzeitung;Frankfurt;12 x jähr;20041;2031581;2031031;2031775
metallzeitung;Frankfurt;12 x jähr;20042;2012370;2011820;2012564
metallzeitung;Frankfurt;12 x jähr;20043;1988555;1988005;1988749
metallzeitung;Frankfurt;12 x jähr;20044;1998521;1997971;1998715
metallzeitung;Frankfurt;12 x jähr;20051;1981682;1980632;1981876
metallzeitung;Frankfurt;12 x jähr;20052;1969498;1968948;1969692
metallzeitung;Frankfurt;12 x jähr;20053;1960635;1960085;1960829
metallzeitung;Frankfurt;12 x jähr;20054;1972491;1971941;1972685
metallzeitung;Frankfurt;12 x jähr;20061;1951752;1951202;1951946
metallzeitung;Frankfurt;12 x jähr;20062;1940013;1939463;1940207
metallzeitung;Frankfurt;12 x jähr;20063;1924236;1923686;1924430
metallzeitung;Frankfurt;12 x jähr;20064;1933310;1932760;1933504
metallzeitung;Frankfurt;12 x jähr;20071;1907672;1907122;1907866
metallzeitung;Frankfurt;12 x jähr;20072;1895743;1895193;1895937
metallzeitung;Frankfurt;12 x jähr;20073;2192863;2192313;2193057
metallzeitung;Frankfurt;12 x jähr;20074;2220638;2220088;2220832
metallzeitung;Frankfurt;12 x jähr;20081;2234457;2233574;2234652
metallzeitung;Frankfurt;12 x jähr;20082;2237229;2236679;2237423
metallzeitung;Frankfurt;12 x jähr;20083;2237528;2235178;2237722
metallzeitung;Frankfurt;12 x jähr;20084;2239563;2239013;2239758
metallzeitung;Frankfurt;12 x jähr;20091;2232154;2231537;2232347
metallzeitung;Frankfurt;12 x jähr;20092;2231433;2230883;2231627
metallzeitung;Frankfurt;12 x jähr;20093;2219921;2215487;2220115
metallzeitung;Frankfurt;12 x jähr;20094;2219144;2218571;2219476
Motivation;Niederkassel;6 x jähr;19981;17492;4356;20000
Motivation;Niederkassel;6 x jähr;19982;16205;2796;20075
Motivation;Niederkassel;6 x jähr;19983;17010;10632;20000
Motivation;Niederkassel;6 x jähr;19991;14782;2588;20000
Motivation;Niederkassel;6 x jähr;19992;14011;2324;18664
Motivation;Niederkassel;6 x jähr;19993;17733;4239;20300
Motivation;Niederkassel;6 x jähr;19994;14014;3128;18077
Motivation;Niederkassel;6 x jähr;20001;15686;1162;18237
Motivation;Niederkassel;6 x jähr;20002;13614;1456;16150
Motivation;Niederkassel;6 x jähr;20002;15193;3035;16150
Motivation;Niederkassel;6 x jähr;20003;20341;3053;21000
Motivation;Niederkassel;6 x jähr;20004;14460;3174;15019
Neue Zeiten;Frankfurt;mtl;20074;17216;366;18000
Neue Zeiten;Frankfurt;mtl;20081;17038;340;17667
Neue Zeiten;Frankfurt;mtl;20081;17359;661;17667
Neue Zeiten;Frankfurt;mtl;20082;20024;755;20667
Neue Zeiten;Frankfurt;mtl;20082;20117;848;20667
Neue Zeiten;Frankfurt;mtl;20083;19280;608;20667
Neue Zeiten;Frankfurt;mtl;20083;20065;1393;20667
Neue Zeiten;Frankfurt;mtl;20084;20895;1263;21333
Neue Zeiten;Frankfurt;mtl;20091;20205;1267;20333
Neue Zeiten;Frankfurt;mtl;20092;20540;303;21333
Neue Zeiten;Frankfurt;mtl;20093;18596;157;19340
Neue Zeiten;Frankfurt;mtl;20094;20499;300;21000
OK!;Hamburg;woe;20083;181881;178291;336277
OK!;Hamburg;woe;20084;167752;164714;311462
OK!;Hamburg;woe;20091;174850;171852;295454
OK!;Hamburg;woe;20092;194685;191686;296920
OK!;Hamburg;woe;20093;241980;239121;355292
OK!;Hamburg;woe;20094;210941;207384;343979
Partner;Dortmund;mtl;20094;11704;7345;18000
Publik-Forum;Oberursel;14-tgl;19981;37079;34223;38033
Publik-Forum;Oberursel;14-tgl;19982;37878;35346;39042
Publik-Forum;Oberursel;14-tgl;19983;35982;35160;36925
Publik-Forum;Oberursel;14-tgl;19984;36919;35538;37783
Publik-Forum;Oberursel;14-tgl;19991;36013;34698;36867
Publik-Forum;Oberursel;14-tgl;19992;36315;35337;37383
Publik-Forum;Oberursel;14-tgl;19993;34930;34255;35900
Publik-Forum;Oberursel;14-tgl;19994;38645;34877;39467
Publik-Forum;Oberursel;14-tgl;20001;36886;35564;38217
Publik-Forum;Oberursel;14-tgl;20002;37053;36423;38050
Publik-Forum;Oberursel;14-tgl;20003;36759;34905;37283
Publik-Forum;Oberursel;14-tgl;20004;38626;36197;39167
Publik-Forum;Oberursel;14-tgl;20011;37405;35969;37950
Publik-Forum;Oberursel;14-tgl;20012;39234;37067;39911
Publik-Forum;Oberursel;14-tgl;20013;37284;36613;38000
Publik-Forum;Oberursel;14-tgl;20014;39924;36844;40583
Publik-Forum;Oberursel;14-tgl;20021;38580;37517;39600
Publik-Forum;Oberursel;14-tgl;20022;39843;37751;40450
Publik-Forum;Oberursel;14-tgl;20023;38713;37786;39400
Publik-Forum;Oberursel;14-tgl;20024;40674;38105;41400
Publik-Forum;Oberursel;14-tgl;20031;41548;38889;42450
Publik-Forum;Oberursel;14-tgl;20032;42464;40457;43317
Publik-Forum;Oberursel;14-tgl;20033;41506;40254;42050
Publik-Forum;Oberursel;14-tgl;20034;42988;40491;43683
Publik-Forum;Oberursel;14-tgl;20041;42237;40699;42967
Publik-Forum;Oberursel;14-tgl;20042;42935;40776;43817
Publik-Forum;Oberursel;14-tgl;20043;42541;40705;43300
Publik-Forum;Oberursel;14-tgl;20044;42734;40747;43367
Publik-Forum;Oberursel;14-tgl;20051;42976;40687;43592
Publik-Forum;Oberursel;14-tgl;20052;43923;41350;45033
Publik-Forum;Oberursel;14-tgl;20053;41252;40607;42167
Publik-Forum;Oberursel;14-tgl;20054;42290;40331;42996
Publik-Forum;Oberursel;14-tgl;20061;42203;40081;42850
Publik-Forum;Oberursel;14-tgl;20062;43172;40441;44350
Publik-Forum;Oberursel;14-tgl;20063;40950;39879;41633
Publik-Forum;Oberursel;14-tgl;20064;42811;39836;43317
Publik-Forum;Oberursel;14-tgl;20071;43662;39358;44767
Publik-Forum;Oberursel;14-tgl;20072;41227;39631;42543
Publik-Forum;Oberursel;14-tgl;20073;39721;38563;40667
Publik-Forum;Oberursel;14-tgl;20074;48134;38870;48890
Publik-Forum;Oberursel;14-tgl;20081;40048;38370;41244
Publik-Forum;Oberursel;14-tgl;20082;49065;37758;49683
Publik-Forum;Oberursel;14-tgl;20083;49648;37131;51433
Publik-Forum;Oberursel;14-tgl;20084;47006;37360;47920
Publik-Forum;Oberursel;14-tgl;20091;39375;37195;40315
Publik-Forum;Oberursel;14-tgl;20092;38727;37199;39517
Publik-Forum;Oberursel;14-tgl;20093;37047;36353;37754
Publik-Forum;Oberursel;14-tgl;20094;40628;36072;41744
Reader´s Digest Das Beste;Stuttgart;mtl;19981;1318382;1234019;1418472
Reader´s Digest Das Beste;Stuttgart;mtl;19982;1162770;1153211;1257929
Reader´s Digest Das Beste;Stuttgart;mtl;19983;1203882;1162113;1303575
Reader´s Digest Das Beste;Stuttgart;mtl;19984;1110200;1098738;1215636
Reader´s Digest Das Beste;Stuttgart;mtl;19991;1237935;1159898;1371697
Reader´s Digest Das Beste;Stuttgart;mtl;19992;1100477;1092413;1202464
Reader´s Digest Das Beste;Stuttgart;mtl;19993;1138593;1098966;1243987
Reader´s Digest Das Beste;Stuttgart;mtl;19994;1063702;1037372;1150371
Reader´s Digest Das Beste;Stuttgart;mtl;20001;1147939;1104037;1262726
Reader´s Digest Das Beste;Stuttgart;mtl;20002;1071939;1060425;1174179
Reader´s Digest Das Beste;Stuttgart;mtl;20003;1104216;1070889;1203388
Reader´s Digest Das Beste;Stuttgart;mtl;20004;1080322;1061929;1146438
Reader´s Digest Das Beste;Stuttgart;mtl;20011;1095979;1057625;1182318
Reader´s Digest Das Beste;Stuttgart;mtl;20012;1062819;1044675;1144999
Reader´s Digest Das Beste;Stuttgart;mtl;20013;1126367;1064475;1199083
Reader´s Digest Das Beste;Stuttgart;mtl;20014;1044836;1031536;1118775
Reader´s Digest Das Beste;Stuttgart;mtl;20021;1068468;1041551;1130749
Reader´s Digest Das Beste;Stuttgart;mtl;20022;1034964;1026095;1096578
Reader´s Digest Das Beste;Stuttgart;mtl;20023;1071031;1029537;1126764
Reader´s Digest Das Beste;Stuttgart;mtl;20024;1008874;1001254;1066958
Reader´s Digest Das Beste;Stuttgart;mtl;20031;1050557;1018725;1102756
Reader´s Digest Das Beste;Stuttgart;mtl;20032;1013644;1006223;1080177
Reader´s Digest Das Beste;Stuttgart;mtl;20033;1043109;1011489;1103543
Reader´s Digest Das Beste;Stuttgart;mtl;20034;1017111;1007972;1063889
Reader´s Digest Das Beste;Stuttgart;mtl;20041;1039392;1010996;1101832
Reader´s Digest Das Beste;Stuttgart;mtl;20042;961208;956203;1013255
Reader´s Digest Das Beste;Stuttgart;mtl;20043;873518;841607;919148
Reader´s Digest Das Beste;Stuttgart;mtl;20044;802274;792055;854200
Reader´s Digest Das Beste;Stuttgart;mtl;20051;823092;794750;884040
Reader´s Digest Das Beste;Stuttgart;mtl;20052;775350;761557;840376
Reader´s Digest Das Beste;Stuttgart;mtl;20053;801586;780040;865099
Reader´s Digest Das Beste;Stuttgart;mtl;20054;790513;783269;841151
Reader´s Digest Das Beste;Stuttgart;mtl;20061;843798;805521;915318
Reader´s Digest Das Beste;Stuttgart;mtl;20062;794567;777238;851079
Reader´s Digest Das Beste;Stuttgart;mtl;20063;829338;798715;891752
Reader´s Digest Das Beste;Stuttgart;mtl;20064;810131;799881;855781
Reader´s Digest Das Beste;Stuttgart;mtl;20071;894659;847783;930152
Reader´s Digest Das Beste;Stuttgart;mtl;20072;845704;831284;902889
Reader´s Digest Das Beste;Stuttgart;mtl;20073;842399;800851;905709
Reader´s Digest Das Beste;Stuttgart;mtl;20074;811819;796359;877705
Reader´s Digest Das Beste;Stuttgart;mtl;20081;843832;812876;894152
Reader´s Digest Das Beste;Stuttgart;mtl;20082;809795;791359;876943
Reader´s Digest Das Beste;Stuttgart;mtl;20083;801467;768095;882355
Reader´s Digest Das Beste;Stuttgart;mtl;20084;809630;802175;872139
Reader´s Digest Das Beste;Stuttgart;mtl;20091;809318;783450;867524
Reader´s Digest Das Beste;Stuttgart;mtl;20092;764459;753636;829608
Reader´s Digest Das Beste;Stuttgart;mtl;20093;787566;752222;862317
Reader´s Digest Das Beste;Stuttgart;mtl;20094;778597;770803;818983
Revue;Hamburg;woe;19981;412680;410141;564415
Revue;Hamburg;woe;19982;414344;411721;547627
Revue;Hamburg;woe;19983;417836;415227;553152
Revue;Hamburg;woe;19984;395070;392464;523816
Revue;Hamburg;woe;19991;381631;378992;519886
Revue;Hamburg;woe;19992;369230;366578;504862
Revue;Hamburg;woe;19993;360142;357627;505228
Revue;Hamburg;woe;19994;327194;324719;469766
Revue;Hamburg;woe;20001;319922;317518;450229
Revue;Hamburg;woe;20002;316832;314569;430015
Revue;Hamburg;woe;20003;326138;323905;429531
Revue;Hamburg;woe;20004;310829;308601;415597
Revue;Hamburg;woe;20011;323655;321453;428256
Revue;Hamburg;woe;20012;310340;308274;429066
Revue;Hamburg;woe;20013;327090;325046;445800
Revue;Hamburg;woe;20014;297380;295327;429106
Revue;Hamburg;woe;20021;298515;295987;415764
Revue;Hamburg;woe;20022;296936;294467;408953
Revue;Hamburg;woe;20023;303224;300622;418265
Revue;Hamburg;woe;20024;320235;317657;467105
Revue;Hamburg;woe;20031;285575;283261;427265
Revue;Hamburg;woe;20032;281897;279526;401516
Revue;Hamburg;woe;20033;291752;288108;396952
Revue;Hamburg;woe;20034;262825;260681;374208
Revue;Hamburg;woe;20041;258879;256809;360003
Revue;Hamburg;woe;20042;255188;252981;357546
Revue;Hamburg;woe;20043;276185;273935;392858
Revue;Hamburg;woe;20044;228979;226757;367459
Revue;Hamburg;woe;20051;251928;249677;368492
Revue;Hamburg;woe;20052;237235;234906;340630
Revue;Hamburg;woe;20053;254437;252071;361370
Revue;Hamburg;woe;20054;239358;236932;363800
Revue;Hamburg;woe;20061;249320;246763;364923
Revue;Hamburg;woe;20062;244730;242227;355254
Revue;Hamburg;woe;20063;258914;256623;352485
Revue;Hamburg;woe;20064;237364;234997;335477
Revue;Hamburg;woe;20071;241341;239127;340569
Revue;Hamburg;woe;20072;210190;208044;341704
Revue;Hamburg;woe;20073;224925;222761;326292
Revue;Hamburg;woe;20074;208829;206592;300285
Revue;Hamburg;woe;20081;210607;208470;293115
Revue;Hamburg;woe;20082;210437;208261;285369
Spiegel Reporter;Hamburg;;19981;4642;4095;
Spiegel Reporter;Hamburg;mtl;19981;140964;132813;200870
Spiegel Reporter;Hamburg;;19982;3420;3187;
Spiegel Reporter;Hamburg;mtl;19982;126375;117244;226745
Spiegel Reporter;Hamburg;mtl;19983;111214;103902;222660
Spiegel Reporter;Hamburg;mtl;19984;131518;124481;259839
Spiegel Reporter;Hamburg;mtl;19991;106578;99078;199617
Spiegel Reporter;Hamburg;mtl;19992;101695;94285;212920
Spiegel Reporter;Hamburg;mtl;19993;79426;72468;180413
Spiegel Reporter;Hamburg;mtl;19994;114498;106300;184542
Spiegel Reporter;Hamburg;mtl;20001;105652;99289;202150
Spiegel Reporter;Hamburg;mtl;20002;90852;84904;179233
Spiegel Reporter;Hamburg;mtl;20003;112230;106625;173278
Spiegel Reporter;Hamburg;mtl;20004;114916;108049;174242
Spiegel Reporter;Hamburg;mtl;20011;105543;98907;190323
Spiegel, Der;Hamburg;woe;19981;1054767;1038687;1287908
Spiegel, Der;Hamburg;woe;19982;1061126;1045170;1292128
Spiegel, Der;Hamburg;woe;19983;1073298;1058496;1314478
Spiegel, Der;Hamburg;woe;19984;1074458;1056673;1334596
Spiegel, Der;Hamburg;woe;19991;1060966;1038604;1319220
Spiegel, Der;Hamburg;woe;19992;1063548;1039497;1273612
Spiegel, Der;Hamburg;woe;19993;1080682;1065438;1295874
Spiegel, Der;Hamburg;woe;19994;1037199;1020986;1283089
Spiegel, Der;Hamburg;woe;20001;1068477;1051615;1294681
Spiegel, Der;Hamburg;woe;20002;1023833;1007690;1273878
Spiegel, Der;Hamburg;woe;20003;1070864;1057317;1308388
Spiegel, Der;Hamburg;woe;20004;1024927;1010285;1291558
Spiegel, Der;Hamburg;woe;20011;1065525;1049666;1321108
Spiegel, Der;Hamburg;woe;20012;1106858;1079701;1348232
Spiegel, Der;Hamburg;woe;20013;1148155;1134244;1387743
Spiegel, Der;Hamburg;woe;20014;1133857;1106750;1385415
Spiegel, Der;Hamburg;woe;20021;1081774;1065625;1323424
Spiegel, Der;Hamburg;woe;20022;1099025;1072950;1338007
Spiegel, Der;Hamburg;woe;20023;1122079;1108589;1365256
Spiegel, Der;Hamburg;woe;20024;1111819;1085605;1361142
Spiegel, Der;Hamburg;woe;20031;1139562;1123803;1373976
Spiegel, Der;Hamburg;woe;20032;1098688;1069047;1359558
Spiegel, Der;Hamburg;woe;20033;1137124;1124240;1359472
Spiegel, Der;Hamburg;woe;20034;1134742;1108083;1399858
Spiegel, Der;Hamburg;woe;20041;1096053;1080873;1355014
Spiegel, Der;Hamburg;woe;20042;1104715;1088932;1353702
Spiegel, Der;Hamburg;woe;20043;1110740;1097720;1357031
Spiegel, Der;Hamburg;woe;20044;1090448;1075946;1319492
Spiegel, Der;Hamburg;woe;20051;1108343;1095122;1341620
Spiegel, Der;Hamburg;woe;20052;1085812;1072079;1320877
Spiegel, Der;Hamburg;woe;20053;1124479;1113078;1364294
Spiegel, Der;Hamburg;woe;20054;1055316;1042395;1321285
Spiegel, Der;Hamburg;woe;20061;1067762;1055369;1307344
Spiegel, Der;Hamburg;woe;20062;1046001;1033454;1297701
Spiegel, Der;Hamburg;woe;20063;1088693;1077202;1318015
Spiegel, Der;Hamburg;woe;20064;1038351;1026199;1287993
Spiegel, Der;Hamburg;woe;20071;1062462;1050397;1297707
Spiegel, Der;Hamburg;woe;20072;1065858;1051113;1296515
Spiegel, Der;Hamburg;woe;20073;1089184;1078981;1330554
Spiegel, Der;Hamburg;woe;20074;1018173;1006634;1272700
Spiegel, Der;Hamburg;woe;20081;1061423;1050296;1268400
Spiegel, Der;Hamburg;woe;20082;1039285;1027353;1266162
Spiegel, Der;Hamburg;woe;20083;1069201;1056229;1268853
Spiegel, Der;Hamburg;woe;20084;1071256;1046090;1284308
Spiegel, Der;Hamburg;woe;20091;1065871;1052432;1260500
Spiegel, Der;Hamburg;woe;20092;1040860;1029558;1237582
Spiegel, Der;Hamburg;woe;20093;1055201;1044745;1272700
Spiegel, Der;Hamburg;woe;20094;1027035;1016373;1225219
Stern;Hamburg;woe;19981;1178730;1164168;1393131
Stern;Hamburg;woe;19982;1129786;1115059;1417538
Stern;Hamburg;woe;19983;1186739;1172308;1457161
Stern;Hamburg;woe;19984;1117169;1102075;1423346
Stern;Hamburg;woe;19991;1124439;1108933;1396192
Stern;Hamburg;woe;19992;1093953;1078168;1359500
Stern;Hamburg;woe;19993;1226945;1201926;1489346
Stern;Hamburg;woe;19994;1097422;1080379;1367500
Stern;Hamburg;woe;20001;1091238;1074344;1361577
Stern;Hamburg;woe;20002;1098112;1081603;1360269
Stern;Hamburg;woe;20003;1158680;1141133;1438346
Stern;Hamburg;woe;20004;1098981;1081613;1364654
Stern;Hamburg;woe;20011;1095032;1077932;1363654
Stern;Hamburg;woe;20012;1099594;1082683;1352784
Stern;Hamburg;woe;20013;1168850;1152101;1448245
Stern;Hamburg;woe;20014;1102615;1085698;1370115
Stern;Hamburg;woe;20021;1057363;1040229;1313577
Stern;Hamburg;woe;20022;1073337;1056250;1351398
Stern;Hamburg;woe;20023;1101182;1083377;1385187
Stern;Hamburg;woe;20024;1059437;1041917;1325731
Stern;Hamburg;woe;20031;1166407;1141293;1423000
Stern;Hamburg;woe;20032;1090810;1073591;1372192
Stern;Hamburg;woe;20033;1106178;1088902;1359962
Stern;Hamburg;woe;20034;1083508;1065966;1356846
Stern;Hamburg;woe;20041;1105457;1087847;1381077
Stern;Hamburg;woe;20042;1095485;1078463;1380192
Stern;Hamburg;woe;20043;1047533;1030748;1316821
Stern;Hamburg;woe;20044;1107622;1090755;1357807
Stern;Hamburg;woe;20051;1068562;1051744;1369500
Stern;Hamburg;woe;20052;1079538;1064540;1305769
Stern;Hamburg;woe;20053;1069779;1053453;1301962
Stern;Hamburg;woe;20054;1032518;1017187;1280515
Stern;Hamburg;woe;20061;1031236;1018705;1284923
Stern;Hamburg;woe;20062;1024666;1012193;1270692
Stern;Hamburg;woe;20063;1024980;1012487;1255846
Stern;Hamburg;woe;20064;1019338;1007345;1234538
Stern;Hamburg;woe;20071;1018146;1009437;1284615
Stern;Hamburg;woe;20072;1020164;1011290;1242231
Stern;Hamburg;woe;20073;1016624;1007724;1250115
Stern;Hamburg;woe;20074;1013101;1004170;1243077
Stern;Hamburg;woe;20081;989604;981016;1221500
Stern;Hamburg;woe;20082;995780;986753;1224038
Stern;Hamburg;woe;20083;995994;987240;1233577
Stern;Hamburg;woe;20084;969001;960834;1198654
Stern;Hamburg;woe;20091;972221;963409;1195695
Stern;Hamburg;woe;20092;973730;964345;1192404
Stern;Hamburg;woe;20093;957003;949546;1171798
Stern;Hamburg;woe;20094;902562;895962;1119654
SUPERillu;Berlin;woe;19981;606813;602136;784498
SUPERillu;Berlin;woe;19982;589656;583117;761306
SUPERillu;Berlin;woe;19983;589285;586414;754230
SUPERillu;Berlin;woe;19984;587857;583365;742083
SUPERillu;Berlin;woe;19991;596410;593578;771518
SUPERillu;Berlin;woe;19992;585394;578785;772304
SUPERillu;Berlin;woe;19993;616052;611770;764510
SUPERillu;Berlin;woe;19994;605770;601026;767402
SUPERillu;Berlin;woe;20001;617373;612890;790102
SUPERillu;Berlin;woe;20002;587882;583987;748907
SUPERillu;Berlin;woe;20003;620487;616658;782459
SUPERillu;Berlin;woe;20004;588457;582866;731225
SUPERillu;Berlin;woe;20011;634965;625676;805183
SUPERillu;Berlin;woe;20012;619694;615031;819546
SUPERillu;Berlin;woe;20013;624208;622949;798693
SUPERillu;Berlin;woe;20014;604228;602766;777569
SUPERillu;Berlin;woe;20021;633702;627550;853081
SUPERillu;Berlin;woe;20022;604440;595973;828423
SUPERillu;Berlin;woe;20023;611447;604375;789458
SUPERillu;Berlin;woe;20024;587707;584557;756063
SUPERillu;Berlin;woe;20031;646951;640808;841395
SUPERillu;Berlin;woe;20032;586747;581675;799633
SUPERillu;Berlin;woe;20033;589641;585305;784058
SUPERillu;Berlin;woe;20034;571938;564822;738825
SUPERillu;Berlin;woe;20041;623301;616776;820175
SUPERillu;Berlin;woe;20042;554868;550684;760664
SUPERillu;Berlin;woe;20043;576792;568611;755240
SUPERillu;Berlin;woe;20044;550981;540066;749179
SUPERillu;Berlin;woe;20051;579531;575166;783654
SUPERillu;Berlin;woe;20052;519468;515511;707538
SUPERillu;Berlin;woe;20053;534357;529348;690269
SUPERillu;Berlin;woe;20054;549001;545531;702385
SUPERillu;Berlin;woe;20061;564243;559546;755269
SUPERillu;Berlin;woe;20062;518050;511482;684308
SUPERillu;Berlin;woe;20063;538891;535573;672385
SUPERillu;Berlin;woe;20064;524912;523505;675420
SUPERillu;Berlin;woe;20071;529437;526620;704844
SUPERillu;Berlin;woe;20072;488433;484739;659535
SUPERillu;Berlin;woe;20073;486045;481455;639226
SUPERillu;Berlin;woe;20074;472642;471226;636111
SUPERillu;Berlin;woe;20081;494864;491525;658456
SUPERillu;Berlin;woe;20082;453016;451055;616952
SUPERillu;Berlin;woe;20083;463107;459811;602524
SUPERillu;Berlin;woe;20084;460547;457354;601134
SUPERillu;Berlin;woe;20091;493220;491316;666125
SUPERillu;Berlin;woe;20092;440777;437028;617738
SUPERillu;Berlin;woe;20093;461275;459736;618085
SUPERillu;Berlin;woe;20094;437316;434169;628560
Time Magazine Germany;AZ Amsterdam;woe;19981;106667;98039;115985
Time Magazine Germany;AZ Amsterdam;woe;19982;99114;96328;109267
Time Magazine Germany;AZ Amsterdam;woe;19983;96468;95059;104781
Time Magazine Germany;AZ Amsterdam;woe;19984;95820;94050;106160
Time Magazine Germany;AZ Amsterdam;woe;19984;96874;95104;106160
Time Magazine Germany;AZ Amsterdam;woe;19991;99624;96769;108608
Time Magazine Germany;AZ Amsterdam;woe;19992;93924;91671;103067
Time Magazine Germany;AZ Amsterdam;woe;19993;96232;91389;105742
Time Magazine Germany;AZ Amsterdam;woe;19994;98209;92069;107707
Time Magazine Germany;AZ Amsterdam;woe;19994;99622;93282;108313
Time Magazine Germany;AZ Amsterdam;woe;20001;99988;94859;113631
Time Magazine Germany;AZ Amsterdam;woe;20002;97596;93342;107362
Vanity Fair;München;woe;20073;180270;172308;310118
Vanity Fair;München;woe;20074;196613;188965;335978
Vanity Fair;München;woe;20081;198479;189006;336644
Vanity Fair;München;woe;20082;147188;138615;276906
Vanity Fair;München;woe;20082;199158;190585;346010
Vanity Fair;München;woe;20083;213851;206755;310231
Vanity Fair;München;woe;20083;224235;217139;310231
Vanity Fair;München;woe;20084;202867;196727;290994
Vanity Fair (Big Travel Format);München;;20082;51970;51970;69104
VdK-Zeitung;Bonn;10 x jähr;19981;1019104;1013622;1038250
VdK-Zeitung;Bonn;10 x jähr;19982;1021820;1013622;1040100
VdK-Zeitung;Bonn;10 x jähr;19983;1037492;1013622;1055233
VdK-Zeitung;Bonn;10 x jähr;19984;1037848;1013622;1056550
VdK-Zeitung;Bonn;10 x jähr;19991;1034208;1031055;1054033
VdK-Zeitung;Bonn;10 x jähr;19992;1037793;1034640;1058400
VdK-Zeitung;Bonn;10 x jähr;19993;1046041;1037871;1066366
VdK-Zeitung;Bonn;10 x jähr;19994;1052072;1037871;1073350
VdK-Zeitung;Bonn;10 x jähr;20001;1050865;1046893;1075467
VdK-Zeitung;Bonn;10 x jähr;20002;1060876;1056757;1083966
VdK-Zeitung;Bonn;10 x jähr;20003;1072607;1067806;1097000
VdK-Zeitung;Bonn;10 x jähr;20004;1077500;1073299;1102150
VdK-Zeitung;Bonn;10 x jähr;20011;1084731;1080744;1110250
VdK-Zeitung;Bonn;10 x jähr;20012;1097505;1093551;1121800
VdK-Zeitung;Bonn;10 x jähr;20013;1110525;1106113;1134550
VdK-Zeitung;Bonn;10 x jähr;20014;1118078;1113641;1143150
VdK-Zeitung;Bonn;10 x jähr;20021;1113646;1109724;1139633
VdK-Zeitung;Bonn;10 x jähr;20022;1121210;1116888;1146966
VdK-Zeitung;Bonn;10 x jähr;20023;1130018;1125929;1156000
VdK-Zeitung;Bonn;10 x jähr;20024;1137392;1133353;1167250
VdK-Zeitung;Bonn;10 x jähr;20031;1131520;1127631;1157833
VdK-Zeitung;Bonn;10 x jähr;20032;1139774;1135885;1165633
VdK-Zeitung;Bonn;10 x jähr;20033;1154216;1149986;1179950
VdK-Zeitung;Bonn;10 x jähr;20034;1160574;1156569;1186750
VdK-Zeitung;Bonn;10 x jähr;20041;1160704;1156876;1186900
VdK-Zeitung;Bonn;10 x jähr;20042;1177544;1173583;1203100
VdK-Zeitung;Bonn;10 x jähr;20043;1192092;1188064;1219000
VdK-Zeitung;Bonn;10 x jähr;20044;1201470;1196819;1227600
VdK-Zeitung;Bonn;10 x jähr;20051;1192547;1188719;1219333
VdK-Zeitung;Bonn;10 x jähr;20052;1204623;1200662;1230500
VdK-Zeitung;Bonn;10 x jähr;20053;1220401;1216573;1246800
VdK-Zeitung;Bonn;10 x jähr;20054;1229305;1225327;1255700
VdK-Zeitung;Bonn;10 x jähr;20061;1220792;1218287;1248833
VdK-Zeitung;Bonn;10 x jähr;20062;1233112;1230691;1259100
VdK-Zeitung;Bonn;10 x jähr;20062;1233112;1230691;1259100
VdK-Zeitung;Bonn;10 x jähr;20063;1245741;1243147;1273600
VdK-Zeitung;Bonn;10 x jähr;20064;1252014;1249660;1278500
VdK-Zeitung;Bonn;10 x jähr;20071;1242008;1239486;1268833
VdK-Zeitung;Bonn;10 x jähr;20072;1257949;1254747;1284233
VdK-Zeitung;Bonn;10 x jähr;20073;1274542;1271683;1301300
VdK-Zeitung;Bonn;10 x jähr;20074;1282338;1279529;1309800
VdK-Zeitung;Bonn;10 x jähr;20081;1266713;1264213;1294000
VdK-Zeitung;Bonn;10 x jähr;20082;1282821;1279639;1309733
VdK-Zeitung;Bonn;10 x jähr;20083;1299513;1297043;1327150
VdK-Zeitung;Bonn;10 x jähr;20084;1306778;1304205;1331450
VdK-Zeitung;Bonn;10 x jähr;20091;1289899;1287100;1315400
VdK-Zeitung;Bonn;10 x jähr;20092;1305235;1302103;1330400
VdK-Zeitung;Bonn;10 x jähr;20093;1329054;1326122;1353700
VdK-Zeitung;Bonn;10 x jähr;20094;1332983;1330051;1357449
VIEW;Hamburg;mtl;20071;127593;123529;205833
VIEW;Hamburg;mtl;20072;119595;115612;204833
VIEW;Hamburg;mtl;20073;135048;131095;209167
VIEW;Hamburg;mtl;20074;132051;128099;223833
